agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
fc_taxi_gasoline_litre_km,0,2,False,,False
fee_parking_IRR_per_space_hour_base,0,1,False,,False
fee_parking_IRR_per_space_hour_indexed,2,0,False,,False
final_energy_MJ_year,4,1,False,,False
final_energy_MJ_year_r12,8,0,False,,False
final_energy_intensity_MJ_pkm,2,0,False,,False
fuel_CNG_car_kg_year,2,1,False,,False
fuel_CNG_kg_year,2,3,False,,False
fuel_CNG_taxi_kg_year,2,1,False,,False
fuel_diesel_bus_litre_year,3,3,False,,False
fuel_gasoline_car_litre_year,2,1,False,,False
fuel_gasoline_litre_year,3,3,False,,False
fuel_gasoline_motorcycle_litre_year,2,1,False,,False
fuel_gasoline_taxi_litre_year,2,1,False,,False
fuel_price_CNG_IRR_kg,0,2,False,,False
fuel_price_diesel_IRR_litre,0,2,False,,False
fuel_price_gasoline_IRR_litre,0,12,False,,False
fuel_price_multiplier,0,2,False,,False
fuel_price_multiplier_base,0,2,False,,False
fx_index_effective,2,6,False,,False
gasoline_L_year_r12,12,3,False,,False
green_mitigation_floor,0,1,False,,False
green_parks_area_m2,0,1,False,,False
green_parks_area_r12,0,1,False,,False
green_space_area_m2,2,2,False,,False
green_space_area_r12_m2,2,2,False,,False
green_space_mitigation_factor_NO2,4,1,False,,False
green_space_mitigation_factor_PM25,2,1,False,,False
green_space_per_capita_m2,2,0,False,,False
green_space_per_capita_r12_m2,2,0,False,,False
green_space_share_cap,0,1,False,,False
green_space_share_of_area_r12,2,0,False,,False
green_space_share_of_urban_area,2,3,False,,False
green_streets_area_m2,0,1,False,,False
green_streets_area_r12,0,1,False,,False
health_cost_per_capita_IRR,2,0,False,,False
hist_add_BRT_km_year,3,1,False,,False
hist_add_bike_km_year,3,1,False,,False
hist_add_metro_km_year,3,1,False,,False
hist_add_road_km_year,3,1,False,,False
hist_remove_BRT_km_year,3,1,False,,False
hist_remove_bike_km_year,3,1,False,,False
hist_remove_metro_km_year,3,1,False,,False
hist_remove_road_km_year,3,1,False,,False
household_income_per_capita_IRR_year,0,2,False,,False
household_size,0,1,False,,False
households_total,2,0,False,,False
import_share_0,0,1,False,,False
import_share_100,0,1,False,,False
import_share_20,0,1,False,,False
import_share_50,0,1,False,,False
import_share_70,0,1,False,,False
import_share_80,0,1,False,,False
inflation_index_effective,1,7,False,,False
inflation_index_effective_growth,2,1,False,,False
inflation_rate,0,1,False,,False
inflation_rate_effective,3,1,False,,False
inflation_shock_factor,0,1,False,,False
inflation_shock_start_year,0,1,False,,False
is_inflation_shock_active,1,1,False,,False
job_r12,0,0,True,ML training/serving feature-column bridge,False
k_NO2_concentration_effective_ugm3_per_t,2,1,False,,False
k_NO2_concentration_ugm3_per_t,0,1,False,,False
k_PM25_concentration_effective_ugm3_per_t,2,1,False,,False
k_PM25_concentration_ugm3_per_t,0,1,False,,False
len_bik,3,3,False,,False
len_bik_hist_target,3,2,False,,False
len_bik_obs_city,0,1,False,,False
len_brt,3,10,False,,False
len_brt_hist_target,3,2,False,,False
len_brt_obs_city,0,1,False,,False
len_brt_r12,2,6,False,,False
len_brt_r12_obs,0,1,False,,False
len_bus,0,6,False,,False
len_bus_r12,2,5,False,,False
len_bus_r12_obs,0,1,False,,False
len_hwy,3,6,False,,False
len_hwy_hist_target,3,2,False,,False
len_hwy_obs_city,0,1,False,,False
len_hwy_r12,2,7,False,,False
len_hwy_r12_obs,0,1,False,,False
len_met,3,8,False,,False
len_met_hist_target,3,2,False,,False
len_met_obs_city,0,1,False,,False
len_met_r12,2,1,False,,False
len_met_r12_obs,0,1,False,,False
lifetime_bus_years,0,1,False,,False
lifetime_car_years,0,1,False,,False
lifetime_infrastructure_years,0,1,False,,False
lifetime_metro_train_years,0,1,False,,False
metro_car_purchases_vehicles_year,0,2,False,,False
metro_car_retirements_vehicles_year,0,1,False,,False
metro_cars_total,2,1,False,,False
metro_fare_rate,0,3,False,,False
metro_fare_rate_base,0,2,False,,False
metro_trainsets,2,0,False,,False
migration_rate_per_person_year,0,1,False,,False
migrations_total_year,2,1,False,,False
modal_share_PT,2,1,False,,False
modal_share_PT_r12,2,1,False,,False
modal_share_bik,2,0,False,,False
modal_share_bus,1,3,False,,False
modal_share_bus_adj,3,1,False,,False
modal_share_bus_ml,14,2,False,,False
modal_share_bus_ptf,5,0,False,,False
modal_share_bus_r12,1,4,False,,False
modal_share_bus_r12_adj,3,1,False,,False
modal_share_bus_r12_ml,15,2,False,,False
modal_share_car,1,1,False,,False
modal_share_car_adj,3,1,False,,False
modal_share_car_ml,14,2,False,,False
modal_share_car_ptf,5,0,False,,False
modal_share_car_r12,1,3,False,,False
modal_share_car_r12_adj,3,1,False,,False
modal_share_car_r12_ml,15,2,False,,False
modal_share_met_r12,1,4,False,,False
modal_share_met_r12_adj,3,1,False,,False
modal_share_met_r12_ml,15,2,False,,False
modal_share_metro,1,3,False,,False
modal_share_metro_adj,3,1,False,,False
modal_share_metro_ml,3,2,False,,False
modal_share_mot_ptf,5,0,False,,False
modal_share_mot_r12,1,2,False,,False
modal_share_mot_r12_adj,3,1,False,,False
modal_share_mot_r12_ml,15,2,False,,False
modal_share_motorcycle,1,2,False,,False
modal_share_motorcycle_adj,3,1,False,,False
modal_share_motorcycle_ml,15,2,False,,False
modal_share_oth_r12,1,2,False,,False
modal_share_oth_r12_adj,3,1,False,,False
modal_share_oth_r12_ml,12,2,False,,False
modal_share_other,1,2,False,,False
modal_share_other_adj,3,1,False,,False
modal_share_other_ml,14,2,False,,False
modal_share_tax_ptf,5,0,False,,False
modal_share_tax_r12,1,2,False,,False
modal_share_tax_r12_adj,3,1,False,,False
modal_share_tax_r12_ml,16,2,False,,False
modal_share_taxi,1,1,False,,False
modal_share_taxi_adj,3,1,False,,False
modal_share_taxi_ml,2,2,False,,False
mortality_adult_rate,0,4,False,,False
mortality_child_rate,0,2,False,,False
motorcycle_ownership_rate,2,0,False,,False
motorcycle_purchases_vehicles_year,1,1,False,,False
motorcycle_retirements_vehicles_year,1,1,False,,False
motorcycles_total,2,3,False,,False
municipal_budget_IRR_year,0,2,False,,False
municipal_budget_IRR_year_r12_proxy,2,0,False,,False
noise_base_cost_IRR_year,0,1,False,,False
noise_exposure_index,6,2,False,,False
