draw,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC10,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,2047.0,2047.0,2.969651954578415,7.785470025823924
0,SC10,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,325417.6086656498,337177.8227351354,0.0,0.0
0,SC10,Tehran,STOCK::transport_financial_balance_IRR,-4900777182623375.0,-1.031292321034973e+16,-4136112326239984.0,-8193812127383878.0,-18.487526354936424,-25.86233428374251
0,SC11,Region 12,CO₂ emissions,215550.4101942904,214268.2496644833,220612.6089674279,224348.4721917896,-2.2946099032285727,-4.493109504525164
0,SC11,Region 12,Congestion index,1.1682699395896097,1.149299724991821,1.243978476102981,1.2728949680805757,-6.086000519120233,-9.709775447940247
0,SC11,Region 12,Electricity use,90039128.7338804,96440664.90337868,81682812.30736423,84582559.45306545,10.230201667239609,14.019563284666557
0,SC11,Region 12,Final energy,2858966626.0841284,2806553241.421628,2981246241.5148897,3025393496.506492,-4.101627491482428,-7.233447660199085
0,SC11,Region 12,Health indicator,364753037410070.7,357632684611813.6,384302022550388.8,392221230776026.06,-5.086880628569918,-8.818631795065647
0,SC11,Region 12,Modal share: car,0.1787674113983159,0.1683466407791007,0.1901941686534329,0.1879505596876787,-6.007943006885005,-10.430359420665866
0,SC11,Region 12,Modal share: public transport,0.4012918250179243,0.4114921926897041,0.3724819199460958,0.3727505038296986,7.7345781175091055,10.393463848329423
0,SC11,Region 12,NOₓ emissions,764.7370006678185,718.232836856178,841.4182545004336,855.7299647393935,-9.113333757911189,-16.06781736632178
0,SC11,Region 12,PM₂.₅ emissions,24.44998316707245,22.47903074911123,28.67736416341227,29.452153241716136,-14.74117695144829,-23.676104206629446
0,SC11,Region 12,Time loss (car),49873668.81206053,46982072.990054965,58460484.09753299,61434594.30406548,-14.688238419556331,-23.52505372214057
0,SC11,Region 12,PCE-weighted VKT,891536431.721216,880979162.7433391,935270675.2532316,953301815.0236548,-4.676105504983817,-7.586543017178791
0,SC11,Tehran,CO₂ emissions,15928559.796061758,15772719.936077408,17096007.6721196,17722312.357730612,-6.828774872169312,-11.00077903097547
0,SC11,Tehran,Congestion index,0.383187416969627,0.3769652697716604,0.408019484941264,0.4175039675023832,-6.086000519120227,-9.709775447940244
0,SC11,Tehran,Electricity use,1126872749.4483745,1412182925.053192,884842811.6666203,1054349026.0625808,27.35287382014052,33.93884663856766
0,SC11,Tehran,Final energy,235994582308.7548,232229656497.5788,254843722466.1595,263570939890.9256,-7.396352546964407,-11.891023876272891
0,SC11,Tehran,Health indicator,1.1643317113999682e+16,1.190526895966149e+16,1.2155252172878236e+16,1.2795861070012928e+16,-4.211636678511896,-6.960001405755637
