draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label
0,SC6,Tehran,STOCK::brts_total,942.0,942.0,empirical_2019
0,SC6,Tehran,STOCK::buses_total,2047.0,2047.0,empirical_2019
0,SC6,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019
0,SC6,Tehran,STOCK::transport_financial_balance_IRR,-3991036595005325.5,-8082118212154402.0,empirical_2019
0,SC8,Region 12,CO₂ emissions,240618.66240442923,243129.9112186677,empirical_2019
0,SC8,Region 12,Congestion index,1.1998694506519028,1.1878282343792,empirical_2019
0,SC8,Region 12,Electricity use,74161023.7732616,76070548.6649441,empirical_2019
0,SC8,Region 12,Final energy,3319239756.8088107,3350374192.368948,empirical_2019
0,SC8,Region 12,Health indicator,382822936617140.1,379373014469373.44,empirical_2019
0,SC8,Region 12,Modal share: car,0.2264022630216796,0.2212320993394873,empirical_2019
0,SC8,Region 12,Modal share: public transport,0.3158219331707381,0.314440278702676,empirical_2019
0,SC8,Region 12,NOₓ emissions,875.296914439561,844.0440425756273,empirical_2019
0,SC8,Region 12,PM₂.₅ emissions,25.809778408751704,23.7187948045016,empirical_2019
0,SC8,Region 12,Time loss (car),65797741.5697508,64954978.27611935,empirical_2019
0,SC8,Region 12,PCE-weighted VKT,1025516125.8569206,1026438362.8682568,empirical_2019
0,SC8,Tehran,CO₂ emissions,16832176.184217066,16840135.094463248,empirical_2019
0,SC8,Tehran,Congestion index,0.3935519180246801,0.3896024518915957,empirical_2019
0,SC8,Tehran,Electricity use,1356011453.3581278,1535796384.7892194,empirical_2019
0,SC8,Tehran,Final energy,248069897088.02,247457313008.0125,empirical_2019
0,SC8,Tehran,Health indicator,1.1903121501052828e+16,1.2232941676603596e+16,empirical_2019
0,SC8,Tehran,Modal share: car,0.5747197851125715,0.5646743312750032,empirical_2019
0,SC8,Tehran,Modal share: public transport,0.1394433898329835,0.14577659893527,empirical_2019
0,SC8,Tehran,NOₓ emissions,62844.01877988995,61939.79746736685,empirical_2019
0,SC8,Tehran,PM₂.₅ emissions,1100.0684879421265,1067.3457941855224,empirical_2019
0,SC8,Tehran,Time loss (car),889092589.324002,876816001.9166886,empirical_2019
