scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC1,Tehran,Electricity use,delta_2030_pct,32,-1.8101003703562912,-2.324345545477175,-1.9652435437652256,-1.723469030272899,-1.632965020662231,-2.616019782021429,-1.5951677793144805,1.0,True,0.691380524814944
SC1,Tehran,Final energy,delta_mean_pct,32,-2.34648274886362,-2.605132059415614,-2.4289418296135192,-2.249854060583857,-2.2356654125826063,-2.630277287705457,-2.227872356524048,1.0,True,0.3694666468330077
SC1,Tehran,Final energy,delta_2030_pct,32,-4.3303490383576975,-5.53494428758942,-4.746747466005057,-4.290648842329151,-4.265801741046635,-5.710166788477083,-4.249004497129352,1.0,True,1.2691425465427848
SC1,Tehran,Health indicator,delta_mean_pct,32,-1.1423533117901137,-1.2527905398625874,-1.1868854488611162,-1.1186109689602548,-1.1125957661645804,-1.2677693265604997,-1.1112019135380142,1.0,True,0.1401947736980069
SC1,Tehran,Health indicator,delta_2030_pct,32,-2.128853400401523,-2.679788623437308,-2.278992428217122,-2.1146375297266173,-2.107411079287966,-2.7172610362024443,-2.106746346961812,1.0,True,0.5723775441493419
SC1,Tehran,Modal share: car,delta_mean_pct,32,-0.6864815315595438,-1.080437093407538,-0.852514239411835,-0.5213738053989254,-0.4899552318279928,-1.155787575771716,-0.4690461349825284,1.0,True,0.5904818615795453
SC1,Tehran,Modal share: car,delta_2030_pct,32,-1.1263851788105534,-2.4355422368223407,-1.4471726260105104,-1.0577062169254663,-0.9968395798525086,-2.8606425275434915,-0.9526356049571778,1.0,True,1.438702656969832
SC1,Tehran,Modal share: public transport,delta_mean_pct,32,1.5872609258170594,1.3544636617766952,1.4083941115284049,2.014329640692508,2.991815043299149,1.246052888871185,3.4198627394637624,1.0,True,1.6373513815224543
SC1,Tehran,Modal share: public transport,delta_2030_pct,32,2.8075450795223715,2.6810377163617924,2.7594516662221955,3.056422776348205,6.464884192720998,2.510138841345385,8.382634801313046,1.0,True,3.7838464763592055
SC1,Tehran,NOₓ emissions,delta_mean_pct,32,-2.338397117397656,-2.546642780063535,-2.4052321863003576,-2.247423816009261,-2.230081562339366,-2.57427524016032,-2.217899998579384,1.0,True,0.316561217724169
SC1,Tehran,NOₓ emissions,delta_2030_pct,32,-4.326588019558208,-5.4908008692010215,-4.68977628509915,-4.287365276435328,-4.255616524028799,-5.548120273899096,-4.230200430695316,1.0,True,1.2351843451722226
SC1,Tehran,PM₂.₅ emissions,delta_mean_pct,32,-2.149593638868547,-2.304983014940215,-2.208008092633194,-2.1026477427770107,-2.092541628071284,-2.3373429476207237,-2.088513091180982,1.0,True,0.2124413868689312
SC1,Tehran,PM₂.₅ emissions,delta_2030_pct,32,-4.005777680107592,-4.891676662721563,-4.261953954468405,-3.980819612365668,-3.967917143326389,-5.018643787264286,-3.960430913679025,1.0,True,0.923759519395174
SC1,Tehran,STOCK::brts_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::brts_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::buses_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::buses_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_bus_fare,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_bus_fare,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_metro_fare,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_metro_fare,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_rhc_fare,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::cost_index_rhc_fare,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::inflation_index_effective,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::inflation_index_effective,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_bik,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_bik,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_brt,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_brt,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_hwy,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_hwy,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_met,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_met,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::metro_cars_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::metro_cars_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::motorcycles_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::motorcycles_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::population_city,delta_mean_pct,32,0.0087464448777335,0.0083232929010033,0.0086093286033194,0.0089870314440322,0.0091999163226278,0.0081956654765251,0.0092892906968455,1.0,True,0.0008766234216244
