scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC5,Tehran,NOₓ emissions,delta_2030_pct,8,-6.750729897480024,-7.746147816367268,-7.331892783466444,-5.612481784194277,-5.25955978487431,-7.888566353379537,-5.179449964736614,1.0,True,2.486588031492958
SC5,Tehran,PM₂.₅ emissions,delta_mean_pct,8,-2.8840892903183293,-3.2454751781276614,-2.997761407219992,-2.5888843471887184,-2.392742055814478,-3.290925603086775,-2.357086890896196,1.0,True,0.8527331223131833
SC5,Tehran,PM₂.₅ emissions,delta_2030_pct,8,-4.305508999652167,-4.932050968063797,-4.69272847080021,-3.79388692891397,-3.4756375743916874,-5.005644822986145,-3.429723074334412,1.0,True,1.45641339367211
SC5,Tehran,STOCK::brts_total,delta_mean_pct,8,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,1.0,True,0.0
SC5,Tehran,STOCK::brts_total,delta_2030_pct,8,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,1.0,True,0.0
SC5,Tehran,STOCK::buses_total,delta_mean_pct,8,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,1.0,True,0.0
SC5,Tehran,STOCK::buses_total,delta_2030_pct,8,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_bus_fare,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_bus_fare,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_metro_fare,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_metro_fare,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_rhc_fare,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::cost_index_rhc_fare,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::inflation_index_effective,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::inflation_index_effective,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::len_bik,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::len_bik,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::len_brt,delta_mean_pct,8,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,1.0,True,0.0
SC5,Tehran,STOCK::len_brt,delta_2030_pct,8,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,1.0,True,0.0
SC5,Tehran,STOCK::len_hwy,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::len_hwy,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::len_met,delta_mean_pct,8,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,1.0,True,0.0
SC5,Tehran,STOCK::len_met,delta_2030_pct,8,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,1.0,True,0.0
SC5,Tehran,STOCK::metro_cars_total,delta_mean_pct,8,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,1.0,True,0.0
SC5,Tehran,STOCK::metro_cars_total,delta_2030_pct,8,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,1.0,True,0.0
SC5,Tehran,STOCK::motorcycles_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::motorcycles_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::population_city,delta_mean_pct,8,0.0190091239199581,0.0163437768399577,0.017249998721018,0.0199539987345629,0.0209007850295759,0.0160524631360514,0.0212745803848628,1.0,True,0.0045570081896182
