draw,scenario,geo,metric,mean_2024_2030,value_2030
28,SC2,Region 12,Health indicator,407191670333411.0,413451400707199.1
28,SC2,Region 12,Modal share: car,0.284776968109005,0.2754893363678776
28,SC2,Region 12,Modal share: public transport,0.271273313032029,0.2733691535455755
28,SC2,Region 12,NOₓ emissions,1052.2574204136074,1060.6059800532878
28,SC2,Region 12,PM₂.₅ emissions,31.21360722556896,32.217945539604614
28,SC2,Region 12,Time loss (car),87734294.60208903,89434799.09335499
28,SC2,Region 12,PCE-weighted VKT,1178848382.7120738,1193198657.7253551
28,SC2,Tehran,CO₂ emissions,17579412.158575825,18081511.765480302
28,SC2,Tehran,Congestion index,0.4087728418269851,0.4156785954535333
28,SC2,Tehran,Electricity use,1467264722.3736289,1698953878.0512366
28,SC2,Tehran,Final energy,258855667216.6176,265468622156.978
28,SC2,Tehran,Health indicator,1.2228436652991474e+16,1.2826722286911832e+16
28,SC2,Tehran,Modal share: car,0.5953471724737943,0.5845045530869026
28,SC2,Tehran,Modal share: public transport,0.1206362783380028,0.124814143849275
28,SC2,Tehran,NOₓ emissions,66096.57981815029,67765.71361854683
28,SC2,Tehran,PM₂.₅ emissions,1184.851023872341,1228.6579549665812
28,SC2,Tehran,Time loss (car),979224906.3644252,1027893136.6066562
28,SC2,Tehran,PCE-weighted VKT,73116934446.99239,75547919511.48257
28,SC2,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
28,SC2,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
28,SC2,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334
28,SC2,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467
28,SC2,Tehran,STOCK::len_bik,942.3771584972671,1280.1311995956578
28,SC2,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051
28,SC2,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
28,SC2,Tehran,STOCK::len_met,320.3214285714312,353.5
28,SC2,Tehran,STOCK::population_city,10218918.636121064,10585586.689034116
28,SC2,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
28,SC2,Tehran,STOCK::taxis_total,78784.0,78784.0
28,SC2,Tehran,STOCK::metro_cars_total,1181.0,1181.0
28,SC2,Tehran,STOCK::brts_total,942.0,942.0
28,SC2,Tehran,STOCK::buses_total,2047.0,2047.0
28,SC2,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
28,SC2,Tehran,STOCK::transport_financial_balance_IRR,-3662251674530996.0,-7262081484464150.0
28,SC3,Region 12,CO₂ emissions,267134.3297886476,269554.10336938885
28,SC3,Region 12,Congestion index,1.2515468352310124,1.2802964946107451
28,SC3,Region 12,Electricity use,56064019.62986132,58555998.50245816
28,SC3,Region 12,Final energy,3795212681.489919,3822207041.839614
28,SC3,Region 12,Health indicator,407984051482160.1,415720281857582.9
28,SC3,Region 12,Modal share: car,0.2856391942997415,0.2756037180787645
28,SC3,Region 12,Modal share: public transport,0.2697478659526875,0.2704304847492177
28,SC3,Region 12,NOₓ emissions,1053.671068888155,1066.192117111973
28,SC3,Region 12,PM₂.₅ emissions,31.144081804973155,32.19634586237059
28,SC3,Region 12,Time loss (car),88589052.15435351,90904290.75838111
28,SC3,Region 12,PCE-weighted VKT,1181405257.709829,1201887231.584986
28,SC3,Tehran,CO₂ emissions,17663781.70227236,18302038.374307662
28,SC3,Tehran,Congestion index,0.4105018735457227,0.4199316357463544
28,SC3,Tehran,Electricity use,1438649503.6709983,1646600779.6322773
28,SC3,Tehran,Final energy,260243499680.05948,268962839638.0119
28,SC3,Tehran,Health indicator,1.2254390330515716e+16,1.2897021258423016e+16
28,SC3,Tehran,Modal share: car,0.6016584827234908,0.5983803038822857
28,SC3,Tehran,Modal share: public transport,0.1177981809722008,0.1196549988522532
28,SC3,Tehran,NOₓ emissions,66422.13199856337,68610.85400431945
28,SC3,Tehran,PM₂.₅ emissions,1184.183832515832,1230.6037071546368
28,SC3,Tehran,Time loss (car),992176014.7385188,1060522739.616604
28,SC3,Tehran,PCE-weighted VKT,73413145375.80211,76309059482.16307
28,SC3,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
28,SC3,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
28,SC3,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334
28,SC3,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467
28,SC3,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736
