Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC6,2025,Region 12,0.45075125812480304,15864115632.678188,raw,Implementation CAPEX
SC6,2026,Region 12,0.6936193372721634,24411817323.204327,raw,Implementation CAPEX
SC6,2027,Region 12,1.0544071620813527,37109684868.70253,raw,Implementation CAPEX
SC6,2028,Region 12,2.4678744844414946,86856432416.82532,raw,Implementation CAPEX
SC6,2029,Region 12,3.550335445700554,124953466086.1558,raw,Implementation CAPEX
SC6,2030,Region 12,5.95199515877633,209479480627.03973,raw,Implementation CAPEX
SC7,2024,Region 12,1.0742279341251089,37807273647.35446,raw,Implementation CAPEX
SC7,2025,Region 12,1.610981191368277,56698215348.87409,raw,Implementation CAPEX
SC7,2026,Region 12,3.3198986874766976,116843282669.93872,raw,Implementation CAPEX
SC7,2027,Region 12,5.67337381494276,199673448726.6604,raw,Implementation CAPEX
SC7,2028,Region 12,9.673871785456157,340470310074.4042,raw,Implementation CAPEX
SC7,2029,Region 12,15.996287661430165,562986686293.9493,raw,Implementation CAPEX
SC7,2030,Region 12,27.02517314923319,951146478472.7878,raw,Implementation CAPEX
SC8,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
SC8,2025,Region 12,0.28751673616678214,10119103755.4845,raw,Implementation CAPEX
SC8,2026,Region 12,0.5484522498150691,19302685801.178013,raw,Implementation CAPEX
SC8,2027,Region 12,0.8060410922378823,28368482309.175312,raw,Implementation CAPEX
SC8,2028,Region 12,1.9161400689671308,67438231340.6345,raw,Implementation CAPEX
SC8,2029,Region 12,2.6981003181358525,94959192379.27402,raw,Implementation CAPEX
SC8,2030,Region 12,4.6025281001246805,161985211725.8258,raw,Implementation CAPEX
SC9,2024,Region 12,13.057198687877275,459545938230.0521,raw,Implementation CAPEX
SC9,2025,Region 12,12.500273792693717,439945059082.94855,raw,Implementation CAPEX
SC9,2026,Region 12,21.6664383271823,762546696820.4055,raw,Implementation CAPEX
SC9,2027,Region 12,28.2115841403648,992902016171.1008,raw,Implementation CAPEX
SC9,2028,Region 12,43.09721073100475,1516799170626.5132,raw,Implementation CAPEX
SC9,2029,Region 12,54.63531453594342,1922880816865.005,raw,Implementation CAPEX
SC9,2030,Region 12,69.92951534075435,2461157672899.296,raw,Implementation CAPEX
SC0,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2025,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2026,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2027,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2028,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2029,Tehran,0.0,0.0,raw,Implementation CAPEX
SC0,2030,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2025,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2026,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2027,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2028,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2029,Tehran,0.0,0.0,raw,Implementation CAPEX
SC1,2030,Tehran,0.0,0.0,raw,Implementation CAPEX
SC10,2024,Tehran,10.738355754927829,5940636121905.778,raw,Implementation CAPEX
SC10,2025,Tehran,13.841275797039232,7657222842092.745,raw,Implementation CAPEX
SC10,2026,Tehran,26.703449925682715,14772790437233.85,raw,Implementation CAPEX
SC10,2027,Tehran,36.10047964904607,19971382799720.707,raw,Implementation CAPEX
SC10,2028,Tehran,59.60566989768594,32974843052865.945,raw,Implementation CAPEX
SC10,2029,Tehran,76.7087461655274,42436547897746.21,raw,Implementation CAPEX
SC10,2030,Tehran,100.0,55321654985956.5,raw,Implementation CAPEX
SC11,2024,Tehran,10.738355754927829,5940636121905.778,raw,Implementation CAPEX
SC11,2025,Tehran,13.764112898145317,7614535049389.491,raw,Implementation CAPEX
SC11,2026,Tehran,26.727420348177507,14786051271665.094,raw,Implementation CAPEX
SC11,2027,Tehran,36.08871907426416,19964876655115.496,raw,Implementation CAPEX
SC11,2028,Tehran,59.54862869770091,32943286917010.38,raw,Implementation CAPEX
SC11,2029,Tehran,76.62327366906752,42389263098146.78,raw,Implementation CAPEX
SC11,2030,Tehran,99.74842033232369,55182476950189.8,raw,Implementation CAPEX
SC2,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC2,2025,Tehran,0.0,0.0,raw,Implementation CAPEX
SC2,2026,Tehran,0.21044874007952763,116423725909.08862,raw,Implementation CAPEX
SC2,2027,Tehran,0.26158893654446413,144715328956.56113,raw,Implementation CAPEX
SC2,2028,Tehran,0.5419770939467674,299830698016.144,raw,Implementation CAPEX
SC2,2029,Tehran,0.8085636123022643,447310771939.8455,raw,Implementation CAPEX
SC2,2030,Tehran,1.1728747528742272,648853724202.4698,raw,Implementation CAPEX
SC3,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC3,2025,Tehran,0.0,0.0,raw,Implementation CAPEX
SC3,2026,Tehran,0.03367179841272447,18627796145.45421,raw,Implementation CAPEX
SC3,2027,Tehran,0.04185422984711432,23154452633.049816,raw,Implementation CAPEX
SC3,2028,Tehran,0.10405960203777934,57567494019.09964,raw,Implementation CAPEX
SC3,2029,Tehran,0.12937017796836225,71569723510.37527,raw,Implementation CAPEX
SC3,2030,Tehran,0.24127709201984104,133478480407.36523,raw,Implementation CAPEX
SC4,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2025,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2026,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2027,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2028,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2029,Tehran,0.0,0.0,raw,Implementation CAPEX
SC4,2030,Tehran,0.0,0.0,raw,Implementation CAPEX
SC5,2024,Tehran,10.242086891607364,5666091973536.902,raw,Implementation CAPEX
SC5,2025,Tehran,12.785294248354761,7073036373014.161,raw,Implementation CAPEX
SC5,2026,Tehran,23.624307826120912,13069358068386.93,raw,Implementation CAPEX
SC5,2027,Tehran,31.502252542747804,17427567464503.648,raw,Implementation CAPEX
SC5,2028,Tehran,49.91964853585159,27616375733205.902,raw,Implementation CAPEX
SC5,2029,Tehran,62.44983405188859,34548281733488.18,raw,Implementation CAPEX
SC5,2030,Tehran,78.17441625924404,43247380850224.47,raw,Implementation CAPEX
SC6,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC6,2025,Tehran,0.3858144944695756,213438963516.27084,raw,Implementation CAPEX
SC6,2026,Tehran,0.623031940006797,344671580302.8717,raw,Implementation CAPEX
SC6,2027,Tehran,0.9822118199114876,543375834242.71765,raw,Implementation CAPEX
SC6,2028,Tehran,2.22873585881827,1232973562363.738,raw,Implementation CAPEX
SC6,2029,Tehran,3.2815920337265303,1815431022944.8245,raw,Implementation CAPEX
SC6,2030,Tehran,5.491976196257386,3038252123204.368,raw,Implementation CAPEX
SC7,2024,Tehran,0.9925377266409322,549088296737.75256,raw,Implementation CAPEX
SC7,2025,Tehran,1.6016292877907223,886047828745.6158,raw,Implementation CAPEX
SC7,2026,Tehran,2.873236245891119,1589521842883.3335,raw,Implementation CAPEX
SC7,2027,Tehran,4.8287335399991145,2671335309189.474,raw,Implementation CAPEX
SC7,2028,Tehran,8.446798982413847,4672908990408.273,raw,Implementation CAPEX
SC7,2029,Tehran,13.977017564146438,7732317434163.633,raw,Implementation CAPEX
SC7,2030,Tehran,23.482660778511256,12990996577410.523,raw,Implementation CAPEX
SC8,2024,Tehran,0.0,0.0,raw,Implementation CAPEX
SC8,2025,Tehran,0.25077942140522497,138735326285.5765,raw,Implementation CAPEX
SC8,2026,Tehran,0.4184394803695089,231487645655.0489,raw,Implementation CAPEX
SC8,2027,Tehran,0.6551793748813142,362456073310.9872,raw,Implementation CAPEX
SC8,2028,Tehran,1.4903021490469934,824459813144.0729,raw,Implementation CAPEX
SC8,2029,Tehran,2.184782893109599,1208658054318.2913,raw,Implementation CAPEX
SC8,2030,Tehran,3.666295364375248,2028255272245.7915,raw,Implementation CAPEX
SC9,2024,Tehran,9.637884077604076,5331836977358.5625,raw,Implementation CAPEX
SC9,2025,Tehran,12.146806491025258,6719814378776.763,raw,Implementation CAPEX
SC9,2026,Tehran,20.028883270670573,11080309700540.334,raw,Implementation CAPEX
SC9,2027,Tehran,26.27637306476842,14536524449713.99,raw,Implementation CAPEX
SC9,2028,Tehran,39.705777337269396,21965893148016.28,raw,Implementation CAPEX
SC9,2029,Tehran,49.950500345543546,27633443464920.61,raw,Implementation CAPEX
SC9,2030,Tehran,63.131520624698,34925402027383.4,raw,Implementation CAPEX
SC0,2024,Region 12,0.0,0.0,pct,PT subsidy need
SC0,2025,Region 12,0.0,0.0,pct,PT subsidy need
SC0,2026,Region 12,0.0,0.0,pct,PT subsidy need
