Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC8,2026,Region 12,-4.237870307264593,-4.237870307264593,pct,Health indicator
SC8,2027,Region 12,-5.497287284410911,-5.497287284410911,pct,Health indicator
SC8,2028,Region 12,-6.924474531119175,-6.924474531119175,pct,Health indicator
SC8,2029,Region 12,-7.333763952304645,-7.333763952304645,pct,Health indicator
SC8,2030,Region 12,-8.174790886425015,-8.174790886425015,pct,Health indicator
SC9,2024,Region 12,-0.16654165224273046,-0.16654165224273046,pct,Health indicator
SC9,2025,Region 12,-1.5787651899929434,-1.5787651899929434,pct,Health indicator
SC9,2026,Region 12,-3.200941018969441,-3.200941018969441,pct,Health indicator
SC9,2027,Region 12,-4.531605779550218,-4.531605779550218,pct,Health indicator
SC9,2028,Region 12,-5.154491976626783,-5.154491976626783,pct,Health indicator
SC9,2029,Region 12,-5.656225731612012,-5.656225731612012,pct,Health indicator
SC9,2030,Region 12,-6.152346213969216,-6.152346213969216,pct,Health indicator
SC0,2024,Tehran,0.0,0.0,pct,Health indicator
SC0,2025,Tehran,0.0,0.0,pct,Health indicator
SC0,2026,Tehran,0.0,0.0,pct,Health indicator
SC0,2027,Tehran,0.0,0.0,pct,Health indicator
SC0,2028,Tehran,0.0,0.0,pct,Health indicator
SC0,2029,Tehran,0.0,0.0,pct,Health indicator
SC0,2030,Tehran,0.0,0.0,pct,Health indicator
SC1,2024,Tehran,0.0,0.0,pct,Health indicator
SC1,2025,Tehran,0.0,0.0,pct,Health indicator
SC1,2026,Tehran,-0.9486674867771627,-0.9486674867771627,pct,Health indicator
SC1,2027,Tehran,-1.1045383919383889,-1.1045383919383889,pct,Health indicator
SC1,2028,Tehran,-2.067902767089185,-2.067902767089185,pct,Health indicator
SC1,2029,Tehran,-1.7650718717837448,-1.7650718717837448,pct,Health indicator
SC1,2030,Tehran,-2.116949206001527,-2.116949206001527,pct,Health indicator
SC10,2024,Tehran,0.021899687667167753,0.021899687667167753,pct,Health indicator
SC10,2025,Tehran,-1.3847195089316215,-1.3847195089316215,pct,Health indicator
SC10,2026,Tehran,-4.201159552308878,-4.201159552308878,pct,Health indicator
SC10,2027,Tehran,-4.899706699520384,-4.899706699520384,pct,Health indicator
SC10,2028,Tehran,-5.5502931437754714,-5.5502931437754714,pct,Health indicator
SC10,2029,Tehran,-5.762881903694991,-5.762881903694991,pct,Health indicator
SC10,2030,Tehran,-6.143729295669741,-6.143729295669741,pct,Health indicator
SC11,2024,Tehran,-0.017755943145833376,-0.017755943145833376,pct,Health indicator
