panel_metric,scenario,geo,p05,p25,median,p75,p95,frozen_central_2030
NOₓ emissions,SC4,Region 12,-2.2915608161662373,-2.2038196582874114,-2.0947453182269964,-2.0143993230065282,-1.9011692234817417,-2.087720600868797
NOₓ emissions,SC5,Tehran,-7.865706523416096,-7.275050882634768,-6.7308409852075055,-6.263662638082167,-5.580604734266598,-6.778405162330728
NOₓ emissions,SC5,Region 12,-2.6448969013857537,-2.5153179670766592,-2.4143513861224823,-2.2806903341747677,-2.2124242370879905,-2.3458931656421593
NOₓ emissions,SC6,Tehran,-11.37859054988118,-10.115501634085057,-9.47688105638731,-9.01554156304497,-7.7805240734445675,-9.601514194745596
NOₓ emissions,SC6,Region 12,-18.7452230246492,-17.521680142073073,-16.49875870812223,-15.289857071805606,-13.165506122082165,-15.908393228480547
NOₓ emissions,SC7,Tehran,-3.1162012471062503,-2.854831884077813,-2.5506042466940215,-2.3293734189889648,-2.0833569824076528,-2.562490750657065
NOₓ emissions,SC7,Region 12,-6.836442918141942,-6.28430234893078,-5.81836741353293,-5.086225536244131,-4.308447999657234,-5.517851485250358
NOₓ emissions,SC8,Tehran,-15.165584579689568,-13.8778366047675,-13.175429295678484,-12.757500381828166,-11.61490556493289,-13.37105297701746
NOₓ emissions,SC8,Region 12,-15.250514056503043,-14.475883440451968,-13.955670260108086,-13.31394038614337,-11.880983082066749,-13.554119974524935
NOₓ emissions,SC9,Tehran,-11.645758990017974,-10.852306925452606,-10.15782047341058,-9.542891330280412,-8.70243698534861,-10.157092391633926
NOₓ emissions,SC9,Region 12,-10.415023693023501,-10.248600862586065,-10.021420408538305,-9.703109141678947,-9.116181551401352,-9.868062401229723
NOₓ emissions,SC10,Tehran,-13.751744426209488,-12.532930127973142,-11.688956129812889,-11.187736642795802,-9.880294584548658,-11.82853582785305
NOₓ emissions,SC10,Region 12,-19.942536228703474,-19.033056583205095,-18.34131648831923,-17.571719544173963,-15.475636301061702,-17.66607533021006
NOₓ emissions,SC11,Tehran,-15.852180542018631,-14.702293955431854,-13.956415068707887,-13.42095698964528,-12.20225783569515,-14.066982419526767
NOₓ emissions,SC11,Region 12,-17.13916723193465,-16.44892212092401,-16.052931393696202,-15.39004195642788,-13.873961542633207,-15.526666713263666
PM₂.₅ emissions,SC1,Tehran,-4.891676662721563,-4.261953954468405,-4.005777680107593,-3.9808196123656683,-3.9679171433263893,-3.9968645465001384
PM₂.₅ emissions,SC1,Region 12,-0.388859771569746,-0.35960326176459034,-0.34546848034551514,-0.332969441445776,-0.29604422586038825,-0.33104068902941736
PM₂.₅ emissions,SC2,Tehran,-0.3126292279314316,-0.22389061580841665,-0.16527632427957167,-0.1276649878408818,-0.054303485650649734,-0.16172570470408845
PM₂.₅ emissions,SC2,Region 12,0.4631648892979564,0.5576276325661516,0.6092651323871702,0.6861255944080767,0.7850607045676293,0.6477439477074594
PM₂.₅ emissions,SC3,Tehran,-0.013640234343135904,-0.001414884251159475,0.00615101348263215,0.016160573873366425,0.024559684912346953,0.00734448409921381
PM₂.₅ emissions,SC3,Region 12,0.4415560243746281,0.49184682043681227,0.5234725589210663,0.5692263655079048,0.7035621306408613,0.544101264983387
PM₂.₅ emissions,SC4,Tehran,-0.7638221207701587,-0.6325439149844457,-0.5380177946736724,-0.471634333777251,-0.42949868929426915,-0.5176866001141259
PM₂.₅ emissions,SC4,Region 12,-1.820230700283385,-1.7292370888520803,-1.6300108976324577,-1.577099299829346,-1.4125628528982164,-1.5743345467216765
PM₂.₅ emissions,SC5,Tehran,-5.101599267587242,-4.646066637478098,-4.27111505306725,-4.12045813230875,-3.703480360357525,-4.420606636258244
PM₂.₅ emissions,SC5,Region 12,-3.218083476812328,-3.0527088054623066,-2.927985232419511,-2.829210587452123,-2.680859036875496,-2.8006715216567852
PM₂.₅ emissions,SC6,Tehran,-18.71274441978498,-17.304430650749175,-16.521683530485426,-15.351940678749852,-14.35377798823348,-16.568008482446352
PM₂.₅ emissions,SC6,Region 12,-38.28827977349161,-36.89303276969247,-36.13382562942688,-33.979578163827895,-32.32416691621668,-35.31633387112057
PM₂.₅ emissions,SC7,Tehran,-1.9780540278366676,-1.6384559596511152,-1.5038260854753158,-1.3452856383703842,-1.1264665248789458,-1.4485063616694185
PM₂.₅ emissions,SC7,Region 12,-3.1259386109714327,-2.818665951296704,-2.5958010902742363,-2.3048756129616144,-1.8684697461838478,-2.3800722576593354
PM₂.₅ emissions,SC8,Tehran,-18.12074757093787,-16.82524692591283,-16.192014325972927,-15.679811703417922,-14.568344655838278,-16.37524504486449
PM₂.₅ emissions,SC8,Region 12,-26.40350571016758,-25.501065601956633,-24.888527813186563,-23.527696630712093,-22.468542185534396,-24.365004894827766
PM₂.₅ emissions,SC9,Tehran,-9.994722777402833,-9.133155327866662,-8.736316232794191,-8.478081243255906,-7.675605444258865,-8.864443838518609
PM₂.₅ emissions,SC9,Region 12,-13.925153774208775,-13.47363261890873,-13.164541029841994,-12.606356583569736,-11.908161631771284,-12.867627787659654
PM₂.₅ emissions,SC10,Tehran,-17.21957832816485,-15.849154374849178,-15.249682982290157,-14.442407038531362,-13.365338300560673,-15.296561808467034
PM₂.₅ emissions,SC10,Region 12,-33.27421291977663,-32.14394591875528,-31.327610696782425,-29.57066590634097,-28.378620782815076,-30.748208382235376
PM₂.₅ emissions,SC11,Tehran,-16.959092380608254,-15.64487103884661,-15.117594358637412,-14.702222198622536,-13.550062066194933,-15.268362593208678
PM₂.₅ emissions,SC11,Region 12,-25.70655189394394,-24.72715963636497,-24.175895755986442,-22.87700476779641,-21.820604152707567,-23.59157726266214
Health indicator,SC1,Tehran,-2.679788623437308,-2.278992428217122,-2.1288534004015234,-2.1146375297266173,-2.107411079287966,-2.116949206001527
