scenario,geo,group,kpi,unit,value_2030
SC3,Tehran,main,Congestion index,–,0.4090452735034747
SC3,Region12,main,Electricity use,kWh/year,74918617.54807143
SC3,Tehran,main,Electricity use,kWh/year,1413919342.613393
SC3,Region12,secondary,Energy: CNG,MJ/year,499020677.10410506
SC3,Tehran,secondary,Energy: CNG,MJ/year,31249431768.076206
SC3,Region12,secondary,Energy: diesel,MJ/year,84480480.81048757
SC3,Tehran,secondary,Energy: diesel,MJ/year,1141411223.6450286
SC3,Region12,secondary,Energy: gasoline,MJ/year,2307979835.423854
SC3,Tehran,secondary,Energy: gasoline,MJ/year,221883074462.7496
SC3,Region12,main,Final energy,MJ/year,3161188016.511504
SC3,Tehran,main,Final energy,MJ/year,259364027087.879
SC3,Region12,main,Health indicator,IRR/year,394059709370584.75
SC3,Tehran,main,Health indicator,IRR/year,1.2704519943233168e+16
SC3,Region12,main,Modal share: car,–,0.1996759466131657
SC3,Tehran,main,Modal share: car,–,0.5676725093489814
SC3,Region12,main,Modal share: public transport,–,0.3492070650610571
SC3,Tehran,main,Modal share: public transport,–,0.12402447964281649
SC3,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC3,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC3,Region12,main,NOₓ emissions,t/year,897.1265425254221
SC3,Tehran,main,NOₓ emissions,t/year,66365.28737342036
SC3,Region12,secondary,Non-public transport trips,trips/year,206646317.6035332
SC3,Tehran,secondary,Non-public transport trips,trips/year,6945883479.670193
SC3,Region12,main,PM₂.₅ emissions,t/year,30.10489671913855
SC3,Tehran,main,PM₂.₅ emissions,t/year,1199.1283927541665
SC3,Region12,secondary,Population,persons,249861.9999999996
SC3,Tehran,secondary,Population,persons,10597143.084859196
SC3,Region12,secondary,Public transport trips,trips/year,110883739.20773299
SC3,Tehran,secondary,Public transport trips,trips/year,983428833.5756993
SC3,Region12,main,Time loss (car),hours/year,63219356.70824882
SC3,Tehran,main,Time loss (car),hours/year,973553860.0011814
SC3,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC3,Tehran,secondary,Trips total (effective),trips/year,7929312313.245893
SC3,Region12,main,PCE-weighted VKT,PCE-km/year,1012934130.2465752
SC3,Tehran,main,PCE-weighted VKT,PCE-km/year,74330813517.29355
SC4,Region12,main,CO₂ emissions,t/year,230355.6298863827
SC4,Tehran,main,CO₂ emissions,t/year,17481219.60922192
SC4,Region12,main,Climate cost,IRR/year,3455334448295.74
SC4,Tehran,main,Climate cost,IRR/year,262218294138328.8
SC4,Region12,main,Congestion index,–,1.236777684451792
SC4,Tehran,main,Congestion index,–,0.4056576568573156
SC4,Region12,main,Electricity use,kWh/year,77449123.5791606
SC4,Tehran,main,Electricity use,kWh/year,1483336198.521371
SC4,Region12,secondary,Energy: CNG,MJ/year,485521233.88842547
SC4,Tehran,secondary,Energy: CNG,MJ/year,30844352327.169895
SC4,Region12,secondary,Energy: diesel,MJ/year,88409591.05201371
SC4,Tehran,secondary,Energy: diesel,MJ/year,1228523464.781059
SC4,Region12,secondary,Energy: gasoline,MJ/year,2293571353.061458
SC4,Tehran,secondary,Energy: gasoline,MJ/year,220355320995.04926
SC4,Region12,main,Final energy,MJ/year,3146319022.886876
SC4,Tehran,main,Final energy,MJ/year,257768207101.67712
SC4,Region12,main,Health indicator,IRR/year,392260608781064.94
SC4,Tehran,main,Health indicator,IRR/year,1.266736053507066e+16
SC4,Region12,main,Modal share: car,–,0.2044912559353205
SC4,Tehran,main,Modal share: car,–,0.5655586678531269
SC4,Region12,main,Modal share: public transport,–,0.36314482280371063
SC4,Tehran,main,Modal share: public transport,–,0.1322929666516614
SC4,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC4,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC4,Region12,main,NOₓ emissions,t/year,889.7668249447164
SC4,Tehran,main,NOₓ emissions,t/year,65959.40668657998
SC4,Region12,secondary,Non-public transport trips,trips/year,202220660.59568673
SC4,Tehran,secondary,Non-public transport trips,trips/year,6880810007.533035
SC4,Region12,main,PM₂.₅ emissions,t/year,29.470595049372502
SC4,Tehran,main,PM₂.₅ emissions,t/year,1192.8330583124164
SC4,Region12,secondary,Population,persons,249861.9999999996
SC4,Tehran,secondary,Population,persons,10597897.701445708
SC4,Region12,secondary,Public transport trips,trips/year,115309396.21557944
SC4,Tehran,secondary,Public transport trips,trips/year,1049066947.5737156
SC4,Region12,main,Time loss (car),hours/year,63912622.56987289
SC4,Tehran,main,Time loss (car),hours/year,957042476.9971616
SC4,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC4,Tehran,secondary,Trips total (effective),trips/year,7929876955.1067505
SC4,Region12,main,PCE-weighted VKT,PCE-km/year,996450028.7771682
SC4,Tehran,main,PCE-weighted VKT,PCE-km/year,73715223220.80382
SC5,Region12,main,CO₂ emissions,t/year,230947.20333452887
SC5,Tehran,main,CO₂ emissions,t/year,16454942.298182797
SC5,Region12,main,Climate cost,IRR/year,3464208050017.934
SC5,Tehran,main,Climate cost,IRR/year,246824134472742.0
SC5,Region12,main,Congestion index,–,1.1704825941470485
SC5,Tehran,main,Congestion index,–,0.3839131579613099
SC5,Region12,main,Electricity use,kWh/year,78599847.4353569
SC5,Tehran,main,Electricity use,kWh/year,1652268680.820715
SC5,Region12,secondary,Energy: CNG,MJ/year,482177252.419365
SC5,Tehran,secondary,Energy: CNG,MJ/year,30276677611.479156
SC5,Region12,secondary,Energy: diesel,MJ/year,87702068.99696559
SC5,Tehran,secondary,Energy: diesel,MJ/year,1993337111.932796
SC5,Region12,secondary,Energy: gasoline,MJ/year,2296409769.4915185
SC5,Tehran,secondary,Energy: gasoline,MJ/year,203461570415.53247
SC5,Region12,main,Final energy,MJ/year,3149248541.6751337
SC5,Tehran,main,Final energy,MJ/year,241679752389.89893
SC5,Region12,main,Health indicator,IRR/year,383418270053809.0
SC5,Tehran,main,Health indicator,IRR/year,1.23109082552044e+16
SC5,Region12,main,Modal share: car,–,0.2062187348183976
SC5,Tehran,main,Modal share: car,–,0.5198568176433137
SC5,Region12,main,Modal share: public transport,–,0.3657042663212067
SC5,Tehran,main,Modal share: public transport,–,0.17129608110912148
SC5,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC5,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC5,Region12,main,NOₓ emissions,t/year,887.4207108040189
SC5,Tehran,main,NOₓ emissions,t/year,62041.69444223362
SC5,Region12,secondary,Non-public transport trips,trips/year,201407960.35017103
