scenario,geo,group,kpi,unit,mean_2024_2030
SC6,Tehran,main,Health indicator,IRR/year,1.1677549164003246e+16
SC6,Tehran,main,Modal share: car,–,0.5354612683009092
SC6,Tehran,main,Modal share: public transport,–,0.14977342044494216
SC6,Tehran,main,NOₓ emissions,t/year,60406.25656718926
SC6,Tehran,main,PM₂.₅ emissions,t/year,1037.750132966525
SC6,Tehran,main,Time loss (car),hours/year,827343620.6032234
SC6,Tehran,main,PCE-weighted VKT,PCE-km/year,69229802959.5312
SC6,Tehran,secondary,Energy: CNG,MJ/year,29959631240.792194
SC6,Tehran,secondary,Energy: diesel,MJ/year,1842607434.2728941
SC6,Tehran,secondary,Energy: gasoline,MJ/year,204300157727.02884
SC6,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC6,Tehran,secondary,Non-public transport trips,trips/year,6507868492.797813
SC6,Tehran,secondary,Population,persons,10231496.63847767
SC6,Tehran,secondary,Public transport trips,trips/year,1147848866.943103
SC6,Tehran,secondary,Trips total (effective),trips/year,7655717359.740916
SC7,Region12,main,CO₂ emissions,t/year,226826.01915545444
SC7,Region12,main,Climate cost,IRR/year,3402390287331.817
SC7,Region12,main,Congestion index,–,1.2191220750370746
SC7,Region12,main,Electricity use,kWh/year,78373142.35573228
SC7,Region12,main,Final energy,MJ/year,3076341024.821566
SC7,Region12,main,Health indicator,IRR/year,383081931906729.44
SC7,Region12,main,Modal share: car,–,0.2125879114120119
SC7,Region12,main,Modal share: public transport,–,0.3469776162014552
SC7,Region12,main,NOₓ emissions,t/year,864.8869185443257
SC7,Region12,main,PM₂.₅ emissions,t/year,28.6870205493993
SC7,Region12,main,Time loss (car),hours/year,63345016.533733524
SC7,Region12,main,PCE-weighted VKT,PCE-km/year,999325997.7726593
SC7,Region12,secondary,Energy: CNG,MJ/year,408577464.2261346
SC7,Region12,secondary,Energy: diesel,MJ/year,60985892.51260175
SC7,Region12,secondary,Energy: gasoline,MJ/year,2324634355.602193
SC7,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC7,Region12,secondary,Non-public transport trips,trips/year,202109598.22228366
SC7,Region12,secondary,Population,persons,247791.92857142843
SC7,Region12,secondary,Public transport trips,trips/year,107359550.66549264
SC7,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC7,Tehran,main,CO₂ emissions,t/year,16842784.42865214
SC7,Tehran,main,Climate cost,IRR/year,252641766429782.1
SC7,Tehran,main,Congestion index,–,0.3998666943944564
SC7,Tehran,main,Electricity use,kWh/year,1448125242.468493
SC7,Tehran,main,Final energy,MJ/year,247674533746.7385
SC7,Tehran,main,Health indicator,IRR/year,1.1997004954511948e+16
SC7,Tehran,main,Modal share: car,–,0.5718422086130328
SC7,Tehran,main,Modal share: public transport,–,0.12224080237775069
SC7,Tehran,main,NOₓ emissions,t/year,63420.69256296374
SC7,Tehran,main,PM₂.₅ emissions,t/year,1144.2474348903036
SC7,Tehran,main,Time loss (car),hours/year,911466081.6227878
SC7,Tehran,main,PCE-weighted VKT,PCE-km/year,71512238416.91296
SC7,Tehran,secondary,Energy: CNG,MJ/year,26472759259.241047
SC7,Tehran,secondary,Energy: diesel,MJ/year,856360884.2298005
SC7,Tehran,secondary,Energy: gasoline,MJ/year,215132162730.38107
SC7,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC7,Tehran,secondary,Non-public transport trips,trips/year,6718538338.361971
SC7,Tehran,secondary,Population,persons,10229214.503195588
SC7,Tehran,secondary,Public transport trips,trips/year,935471413.6541282
SC7,Tehran,secondary,Trips total (effective),trips/year,7654009752.016099
SC8,Region12,main,CO₂ emissions,t/year,224525.28911826343
SC8,Region12,main,Climate cost,IRR/year,3367879336773.952
SC8,Region12,main,Congestion index,–,1.1398462810830463
SC8,Region12,main,Electricity use,kWh/year,76382782.26206844
SC8,Region12,main,Final energy,MJ/year,3060858499.0893784
SC8,Region12,main,Health indicator,IRR/year,368114899284052.8
SC8,Region12,main,Modal share: car,–,0.2010756420996779
SC8,Region12,main,Modal share: public transport,–,0.37559616638331955
SC8,Region12,main,NOₓ emissions,t/year,818.3304946455958
SC8,Region12,main,PM₂.₅ emissions,t/year,24.686738634652777
SC8,Region12,main,Time loss (car),hours/year,54013698.181401595
SC8,Region12,main,PCE-weighted VKT,PCE-km/year,943530577.4452173
SC8,Region12,secondary,Energy: CNG,MJ/year,464502122.9105752
SC8,Region12,secondary,Energy: diesel,MJ/year,91341685.41340962
SC8,Region12,secondary,Energy: gasoline,MJ/year,2230036674.621947
SC8,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC8,Region12,secondary,Non-public transport trips,trips/year,189395590.96853337
SC8,Region12,secondary,Population,persons,247791.92857142843
SC8,Region12,secondary,Public transport trips,trips/year,113925217.77126677
SC8,Region12,secondary,Trips total (effective),trips/year,303320808.73980016
SC8,Tehran,main,CO₂ emissions,t/year,15752279.980984287
SC8,Tehran,main,Climate cost,IRR/year,236284199714764.28
SC8,Tehran,main,Congestion index,–,0.37386458162578284
SC8,Tehran,main,Electricity use,kWh/year,1327021073.5127637
SC8,Tehran,main,Final energy,MJ/year,232512108089.05698
SC8,Tehran,main,Health indicator,IRR/year,1.1551278090299164e+16
SC8,Tehran,main,Modal share: car,–,0.5235286193809362
SC8,Tehran,main,Modal share: public transport,–,0.16476764340729194
SC8,Tehran,main,NOₓ emissions,t/year,58884.36160138679
SC8,Tehran,main,PM₂.₅ emissions,t/year,1039.128388645578
SC8,Tehran,main,Time loss (car),hours/year,762293515.1203785
SC8,Tehran,main,PCE-weighted VKT,PCE-km/year,66845968661.0118
SC8,Tehran,secondary,Energy: CNG,MJ/year,28973098811.865826
