number,value,params_alpha_delay_congestion_r12,params_congestion_multiplier_r12,params_spd_bus_history_calibration_factor,params_spd_car_history_calibration_factor,user_attrs_component_activity,user_attrs_component_annual_distance,user_attrs_component_city_modal,user_attrs_component_energy_environment,user_attrs_component_operational_shares,user_attrs_component_r12_modal,user_attrs_component_speed,user_attrs_fit_loss,user_attrs_omega,user_attrs_stability,state,study_file
1,0.1075036424029644,1.0985874733266283,3.339899015324083,0.952810862199077,0.9448412359979254,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046586968212748,0.1088597384251393,0.0833999017248109,0.6025935169538372,0.0,COMPLETE,random_seed202
2,0.0986349373479986,0.9228650158492578,3.109558037153096,1.0142951075941873,1.0989984203867689,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1083955041458893,0.0883511376442044,0.0822832320563889,0.4087926322902411,0.0,COMPLETE,random_seed202
3,0.098731173533303,1.010526424605574,3.3482420502460504,0.9463728210236738,1.0620047463597402,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046586968212748,0.097410265319774,0.0822549544142744,0.4119054779757148,0.0,COMPLETE,random_seed202
4,0.0966042410312928,1.0745688490221204,3.011237116476297,0.9173986386806172,0.9877536584380208,0.0415801591229743,0.1286569215932515,0.072565664415854,0.0933799925594256,3.193111471854626e-17,0.106985073528744,0.1080497587600724,0.0839188044588233,0.3171359143117392,0.0,COMPLETE,random_seed202
5,0.0916727016539799,1.0742258126379385,2.877078281444267,1.0486530490097616,0.9822444899232908,0.038684487453104,0.1298120828064847,0.0667038843108842,0.0888569754179742,3.193111471854626e-17,0.1099876938088991,0.0911199027006451,0.0803076782138853,0.2841255860023645,0.0,COMPLETE,random_seed202
6,0.0900593511098041,1.0508816165466774,3.0072280026792755,0.9387365996472702,1.010523387691607,0.0415792121737183,0.12865688922454,0.0725663675869751,0.0933895913271717,3.193111471854626e-17,0.1076076906134547,0.1014931383694679,0.0834203511440776,0.1659749991431634,0.0,COMPLETE,random_seed202
7,0.09129046020719,0.9687573647876984,3.281878282693192,0.9566426332671536,0.9929242019513388,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046140825656558,0.1003832430628189,0.0825410986246742,0.2187340395628966,0.0,COMPLETE,random_seed202
8,0.0941791658516445,0.9337870354187788,2.979702835424233,1.0612829120592036,1.0834868722062836,0.0375545986037618,0.1294619557421398,0.0645598007040263,0.08943940951955,3.193111471854626e-17,0.1086311984809294,0.083851938826743,0.0785554027895302,0.3905940765528569,0.0,COMPLETE,random_seed202
9,0.1084690604335716,0.9647110548709774,2.766960608140032,0.9056300438697052,0.935376293531533,0.0415801589514635,0.1286569357826248,0.0725656593195959,0.0933799897144771,3.193111471854626e-17,0.1093985047775535,0.1187782592038536,0.0855950110521017,0.5718512345367479,0.0,COMPLETE,random_seed202
1,0.0907399561509939,1.0621783718926188,3.0797937888121094,0.9562070142660926,1.0500296846854658,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1056445617584605,0.0958941478032054,0.082349808896914,0.2097536813519995,0.0,COMPLETE,random_seed303
2,0.0884264112386067,0.9720600852198864,2.8579850300250773,0.9870566066242712,1.0242346282139487,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1095147991265942,0.0924504258546895,0.0829729846226137,0.1363356653998259,0.0,COMPLETE,random_seed303
3,0.0910949940154091,0.92908816055724,3.1435681301338465,1.017542324050048,0.9576825223788458,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1073877242692881,0.0980607701872816,0.0830022503415464,0.2023185918465673,0.0,COMPLETE,random_seed303
